                Time                  x1                  y1                  x2                  y2
                   0        0.9999999793     0.0002036732037         1.707244272        0.7071729157
               0.001        0.9999999802      0.000198767809         1.707244273         0.707168011
               0.002        0.9999999831     0.0001840516825         1.707244274        0.7071532968
               0.003        0.9999999873     0.0001595249976         1.707244275        0.7071287731
               0.004        0.9999999922     0.0001251880429         1.707244276        0.7070944396
               0.005        0.9999999967    8.104122246e-005         1.707244278        0.7070502959
               0.006        0.9999999996    2.708505612e-005         1.707244279        0.7069963418
               0.007        0.9999999993   -3.667982091e-005         1.707244278        0.7069325767
               0.008        0.9999999939    -0.0001102526577         1.707244277        0.7068590001
               0.009        0.9999999813    -0.0001936325879         1.707244273        0.7067756113
                0.01        0.9999999589    -0.0002868186291         1.707244266        0.7066824096
               0.011         0.999999924    -0.0003898096835         1.707244256        0.7065793941
               0.012        0.9999998737    -0.0005026045371         1.707244241         0.706466564
               0.013        0.9999998046    -0.0006252018603          1.70724422        0.7063439183
               0.014         0.999999713    -0.0007576002073         1.707244193        0.7062114558
               0.015        0.9999995952    -0.0008997980163         1.707244157        0.7060691755
               0.016        0.9999994469     -0.001051793609         1.707244113         0.705917076
               0.017        0.9999992636     -0.001213585192         1.707244058        0.7057551561
               0.018        0.9999990407     -0.001385170853         1.707243991        0.7055834143
               0.019         0.999998773     -0.001566548566         1.707243911        0.7054018491
                0.02        0.9999984552     -0.001757716187         1.707243815        0.7052104588
               0.021        0.9999980818     -0.001958671454         1.707243703         0.705009242
               0.022        0.9999976468     -0.002169411991         1.707243573        0.7047981967
               0.023        0.9999971441     -0.002389935301         1.707243423        0.7045773211
               0.024        0.9999965672     -0.002620238774          1.70724325        0.7043466134
               0.025        0.9999959093      -0.00286031968         1.707243053        0.7041060714
               0.026        0.9999951634     -0.003110175171         1.707242829        0.7038556932
               0.027        0.9999943222     -0.003369802283         1.707242578        0.7035954765
               0.028        0.9999933781     -0.003639197932         1.707242295         0.703325419
               0.029        0.9999923232     -0.003918358919         1.707241979        0.7030455185
                0.03        0.9999911494     -0.004207281923         1.707241628        0.7027557725
               0.031        0.9999898481     -0.004505963506         1.707241239        0.7024561784
               0.032        0.9999884107     -0.004814400112         1.707240809        0.7021467338
               0.033        0.9999868282     -0.005132588065         1.707240336        0.7018274359
               0.034        0.9999850912     -0.005460523569         1.707239817        0.7014982821
               0.035        0.9999831903     -0.005798202712         1.707239249        0.7011592693
               0.036        0.9999811155     -0.006145621457         1.707238629        0.7008103949
               0.037        0.9999788567     -0.006502775652         1.707237955        0.7004516557
               0.038        0.9999764036     -0.006869661022         1.707237223        0.7000830487
               0.039        0.9999737454     -0.007246273173         1.707236429        0.6997045708
                0.04        0.9999708712     -0.007632607587         1.707235572        0.6993162188
               0.041        0.9999677698      -0.00802865963         1.707234647        0.6989179892
               0.042        0.9999644296     -0.008434424543         1.707233651        0.6985098788
               0.043        0.9999608389     -0.008849897447         1.707232581        0.6980918842
               0.044        0.9999569856      -0.00927507334         1.707231433        0.6976640017
               0.045        0.9999528574     -0.009709947099         1.707230204        0.6972262278
               0.046        0.9999484416      -0.01015451348         1.707228889        0.6967785587
               0.047        0.9999437254      -0.01060876711         1.707227486        0.6963209908
               0.048        0.9999386958       -0.0110727025         1.707225989        0.6958535202
               0.049        0.9999333391      -0.01154631403         1.707224396         0.695376143
                0.05        0.9999276418      -0.01202959597         1.707222703        0.6948888552
               0.051        0.9999215899      -0.01252254245         1.707220905        0.6943916528
               0.052        0.9999151692      -0.01302514748         1.707218998        0.6938845316
               0.053        0.9999083651      -0.01353740496         1.707216977        0.6933674874
               0.054         0.999901163      -0.01405930864          1.70721484        0.6928405161
               0.055        0.9998935479      -0.01459085216         1.707212581        0.6923036132
               0.056        0.9998855043      -0.01513202903         1.707210196        0.6917567743
               0.057        0.9998770168      -0.01568283263         1.707207681         0.691199995
               0.058        0.9998680696      -0.01624325624          1.70720503        0.6906332708
               0.059        0.9998586466      -0.01681329296          1.70720224        0.6900565969
                0.06        0.9998487315      -0.01739293582         1.707199305        0.6894699688
               0.061        0.9998383076      -0.01798217768         1.707196221        0.6888733816
               0.062        0.9998273581      -0.01858101129         1.707192984        0.6882668307
               0.063        0.9998158659      -0.01918942927         1.707189587         0.687650311
               0.064        0.9998038137      -0.01980742412         1.707186027        0.6870238177
               0.065        0.9997911838      -0.02043498818         1.707182298        0.6863873457
               0.066        0.9997779584       -0.0210721137         1.707178395          0.68574089
               0.067        0.9997641192      -0.02171879277         1.707174313        0.6850844455
               0.068         0.999749648      -0.02237501737         1.707170047        0.6844180069
               0.069         0.999734526      -0.02304077932         1.707165591         0.683741569
                0.07        0.9997187344      -0.02371607035         1.707160941        0.6830551264
               0.071        0.9997022542      -0.02440088201          1.70715609        0.6823586739
               0.072        0.9996850657      -0.02509520576         1.707151034        0.6816522058
               0.073        0.9996671496      -0.02579903291         1.707145767        0.6809357169
               0.074        0.9996484857      -0.02651235463         1.707140282        0.6802092014
               0.075        0.9996290542      -0.02723516196         1.707134576        0.6794726538
               0.076        0.9996088345      -0.02796744581         1.707128641        0.6787260685
               0.077        0.9995878061      -0.02870919695         1.707122473        0.6779694396
               0.078         0.999565948      -0.02946040603         1.707116065        0.6772027614
               0.079        0.9995432393      -0.03022106354         1.707109411        0.6764260281
                0.08        0.9995196586      -0.03099115985         1.707102507        0.6756392337
