                Time                  x1                  y1                  x2                  y2
               23.04       -0.9904540663        -0.137843181       -0.1174887999       -0.6256255543
               23.05        -0.994385183       -0.1058211125       -0.1554379739       -0.6500339204
               23.06       -0.9970648054      -0.07656222249       -0.1952904201       -0.6741890585
               23.07       -0.9987404083      -0.05017565982       -0.2369394408       -0.6979868097
               23.08       -0.9996425601      -0.02673484579       -0.2802580186       -0.7213468824
               23.09       -0.9999802736     -0.006281121486       -0.3251053101       -0.7442132211
                23.1       -0.9999375925       0.01117188801       -0.3713327837       -0.7665529955
               23.11       -0.9996714081       0.02563348941       -0.4187896755        -0.788354479
               23.12       -0.9993104068       0.03713099639       -0.4673275461       -0.8096241252
               23.13       -0.9989549849       0.04570490194       -0.5168038398       -0.8303831491
               23.14       -0.9986779236       0.05140432852       -0.5670844339       -0.8506638838
               23.15       -0.9985255979       0.05428287425       -0.6180452456       -0.8705061295
               23.16       -0.9985195007       0.05439491359        -0.669572999       -0.8899536444
               23.17       -0.9986578752       0.05179235792       -0.7215652815       -0.9090508627
               23.18       -0.9989172731       0.04652183979       -0.7739300094       -0.9278398647
               23.19       -0.9992538825       0.03862225213        -0.826584411       -0.9463575718
                23.2       -0.9996044828       0.02812255111       -0.8794535977       -0.9646330909
               23.21       -0.9998868971        0.0150397151       -0.9324687581       -0.9826850939
               23.22       -0.9999998058    -0.0006232598321       -0.9855649511        -1.000519072
               23.23       -0.9998217672      -0.01887945607        -1.038678411        -1.018124252
               23.24       -0.9992092443      -0.03976035813        -1.091743177         -1.03546989
               23.25       -0.9979933679      -0.06331854038        -1.144686726        -1.052500555
               23.26       -0.9959750561       -0.0896308409        -1.197424057        -1.069129845
               23.27       -0.9929179549       -0.1188020824        -1.249849341         -1.08523173
               23.28       -0.9885384632       -0.1509692245        -1.301823612        -1.100628329
               23.29       -0.9824918886       -0.1863053646        -1.353155972        -1.115072363
                23.3       -0.9743537198       -0.2250218405        -1.403573967        -1.128221696
               23.31       -0.9635956481       -0.2673638476         -1.45267583        -1.139602677
               23.32       -0.9495590456       -0.3135882951        -1.499852955        -1.148559321
